rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
168	PLCXD3	phosphatidylinositol-specific phospholipase C, X domain containing 3	276501	4	4	4	1	0	0	1	2	1	0	0.000352	0.598	0.585	0.145	1.000	0.00315	0.340
169	UGT2A1	UDP glucuronosyltransferase 2 family, polypeptide A1	452281	4	4	4	0	2	1	1	0	0	0	0.00102	0.217	0.209	0.648	0.350	0.00318	0.340
170	SLC9A4	solute carrier family 9 (sodium/hydrogen exchanger), member 4	691533	7	7	6	2	6	0	0	1	0	0	0.000974	0.340	0.295	0.382	0.366	0.00319	0.340
171	MYO1B	myosin IB	993174	7	7	7	0	1	0	3	1	2	0	0.000600	0.130	0.481	0.626	0.598	0.00321	0.340
172	SLC22A10	solute carrier family 22, member 10	471055	4	4	3	0	4	0	0	0	0	0	0.00235	0.393	0.0440	0.994	0.155	0.00324	0.340
173	TAF1L	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like	1552255	9	9	9	1	3	1	2	3	0	0	0.000550	0.334	0.423	0.986	0.662	0.00325	0.340
174	OR4M1	olfactory receptor, family 4, subfamily M, member 1	267171	3	3	3	1	2	1	0	0	0	0	0.00327	0.875	0.775	0.0133	0.121	0.00350	0.363
175	MSL3	male-specific lethal 3 homolog (Drosophila)	449541	4	4	4	0	0	1	0	0	3	0	0.000918	0.444	0.185	0.726	0.432	0.00350	0.363
176	FPR2	formyl peptide receptor 2	299980	4	4	3	0	3	0	1	0	0	0	0.000401	0.291	0.671	0.671	1.000	0.00354	0.363
177	OR4C11	olfactory receptor, family 4, subfamily C, member 11	246113	3	3	3	0	1	0	0	2	0	0	0.00125	0.556	0.332	0.137	0.320	0.00354	0.363
178	PABPC3	poly(A) binding protein, cytoplasmic 3	537700	4	4	4	0	2	1	0	0	1	0	0.0131	0.300	0.0963	0.0543	0.0314	0.00362	0.369
179	OR4B1	olfactory receptor, family 4, subfamily B, member 1	264008	2	2	2	0	1	1	0	0	0	0	0.00900	0.333	0.429	0.0103	0.0468	0.00369	0.374
180	OR10H5	olfactory receptor, family 10, subfamily H, member 5	269133	3	3	3	0	0	2	1	0	0	0	0.00527	0.205	0.0249	0.535	0.0826	0.00380	0.383
181	OR4N2	olfactory receptor, family 4, subfamily N, member 2	262216	3	3	3	0	0	2	1	0	0	0	0.000678	0.225	0.950	0.339	0.656	0.00387	0.384
182	BCLAF1	BCL2-associated transcription factor 1	793459	6	6	6	1	4	0	0	1	1	0	0.00137	0.659	0.223	0.849	0.325	0.00388	0.384
183	TRHDE	thyrotropin-releasing hormone degrading enzyme	806311	7	7	7	2	3	0	1	2	1	0	0.00151	0.435	0.327	0.243	0.294	0.00388	0.384
184	PRG2	proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)	168312	2	2	2	1	1	1	0	0	0	0	0.0136	0.744	0.638	0.0258	0.0337	0.00398	0.393
185	ZNF727	zinc finger protein 727	213649	3	3	3	1	1	0	0	1	1	0	0.000467	0.846	0.399	0.967	1.000	0.00405	0.397
186	OR4A47	olfactory receptor, family 4, subfamily A, member 47	263060	3	3	3	0	1	0	1	1	0	0	0.000933	0.292	0.647	0.180	0.519	0.00418	0.406
187	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	479311	6	6	6	1	4	0	0	2	0	0	0.000485	0.286	0.964	0.959	1.000	0.00419	0.406
188	PCDHB5	protocadherin beta 5	676936	5	5	5	1	1	2	0	1	1	0	0.00680	0.368	0.0323	0.984	0.0739	0.00432	0.415
189	OR51T1	olfactory receptor, family 51, subfamily T, member 1	299006	3	3	3	0	2	0	0	1	0	0	0.00195	0.482	0.485	0.107	0.258	0.00433	0.415
190	PEG3	paternally expressed 3	1245936	8	5	8	1	1	1	0	6	0	0	0.0439	0.437	0.187	0.00488	0.0116	0.00438	0.418
191	CYP4F12	cytochrome P450, family 4, subfamily F, polypeptide 12	459252	4	4	4	0	3	0	1	0	0	0	0.00594	0.298	0.785	0.0236	0.0871	0.00444	0.419
192	PRKG2	protein kinase, cGMP-dependent, type II	665915	5	5	5	1	3	0	0	0	2	0	0.000688	0.707	0.618	0.837	0.763	0.00449	0.419
193	CDH19	cadherin 19, type 2	662532	3	3	3	1	0	1	0	0	2	0	0.0195	0.912	0.228	0.00830	0.0269	0.00450	0.419
194	MCM6	minichromosome maintenance complex component 6	715692	3	3	3	0	0	0	0	2	1	0	0.0801	0.597	0.00332	0.366	0.00657	0.00450	0.419
195	C7orf66	chromosome 7 open reading frame 66	100454	2	2	2	1	2	0	0	0	0	0	0.000606	1.000	0.879	0.318	0.872	0.00452	0.419
196	CLCN7	chloride channel 7	500750	4	4	3	1	1	1	0	0	2	0	0.00923	0.486	0.0365	0.967	0.0574	0.00453	0.419
197	RALYL	RALY RNA binding protein-like	214004	3	3	3	1	2	0	0	0	1	0	0.00486	0.637	0.0155	0.779	0.110	0.00455	0.419
198	BIRC8	baculoviral IAP repeat-containing 8	202345	2	2	2	1	0	0	0	0	2	0	0.00462	0.880	NaN	NaN	NaN	0.00462	0.423
199	DNAH11	dynein, axonemal, heavy chain 11	3714888	9	9	9	2	5	2	1	1	0	0	0.210	0.301	0.000988	0.793	0.00262	0.00467	0.426
200	RBPJL	recombination signal binding protein for immunoglobulin kappa J region-like	378859	3	3	3	0	0	0	0	2	1	0	0.0213	0.527	0.0108	0.663	0.0259	0.00470	0.426
201	OR7G2	olfactory receptor, family 7, subfamily G, member 2	294317	3	3	3	0	0	0	1	1	1	0	0.00501	0.491	0.0843	0.275	0.112	0.00475	0.427
202	RPTN	repetin	668696	4	4	4	0	0	0	0	1	3	0	0.00907	0.604	0.0638	0.126	0.0619	0.00476	0.427
203	CALN1	calneuron 1	194420	7	7	6	3	5	1	0	1	0	0	0.00622	0.620	0.155	0.112	0.0914	0.00482	0.430
204	ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2	414788	5	5	5	1	3	2	0	0	0	0	0.00119	0.274	0.311	0.472	0.494	0.00496	0.441
205	SERPINA11	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	362096	3	3	3	1	1	1	0	1	0	0	0.00653	0.584	0.0278	0.422	0.0908	0.00500	0.442
206	SERPINB7	serpin peptidase inhibitor, clade B (ovalbumin), member 7	331301	3	3	3	0	1	1	1	0	0	0	0.00162	0.298	0.244	0.385	0.370	0.00505	0.443
207	LRP2	low density lipoprotein-related protein 2	4016922	15	15	15	1	9	1	2	1	2	0	0.00188	0.0359	0.979	0.103	0.320	0.00506	0.443
208	IL1RAPL2	interleukin 1 receptor accessory protein-like 2	592908	3	3	3	1	0	2	0	1	0	0	0.0376	0.659	0.00588	0.527	0.0161	0.00509	0.444
209	MAP3K1	mitogen-activated protein kinase kinase kinase 1	1166948	6	6	4	2	1	4	1	0	0	0	0.0900	0.585	0.00814	0.0577	0.00687	0.00518	0.448
210	TMEM156	transmembrane protein 156	257288	2	2	1	0	2	0	0	0	0	0	0.0239	0.371	0.126	0.254	0.0259	0.00519	0.448
211	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	273060	3	3	3	0	0	0	2	1	0	0	0.00504	0.420	0.571	0.0365	0.123	0.00521	0.448
212	GLT8D2	glycosyltransferase 8 domain containing 2	307281	3	3	3	0	2	0	0	1	0	0	0.00761	0.360	0.319	0.0266	0.0827	0.00526	0.450
213	OR10A3	olfactory receptor, family 10, subfamily A, member 3	268280	3	3	3	1	1	2	0	0	0	0	0.00131	0.513	0.969	0.187	0.485	0.00532	0.453
214	SVOPL	SVOP-like	318263	4	4	4	0	2	1	0	1	0	0	0.00246	0.243	0.213	0.435	0.263	0.00541	0.459
215	ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	56316	1	1	1	1	0	0	1	0	0	0	0.00546	0.931	NaN	NaN	NaN	0.00546	0.460
216	GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2	414406	4	4	4	1	1	0	1	2	0	0	0.00256	0.670	0.138	0.925	0.257	0.00548	0.460
217	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	937673	3	3	2	2	2	0	0	1	0	0	0.661	0.869	0.00348	0.00723	0.00100	0.00551	0.461
218	TMSB15A	thymosin beta 15a	41318	1	1	1	0	0	1	0	0	0	0	0.00569	0.667	NaN	NaN	NaN	0.00569	0.473
219	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	395934	4	4	4	1	2	1	0	1	0	0	0.00281	0.462	0.142	0.619	0.246	0.00572	0.474
220	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	441761	4	4	4	0	1	0	1	2	0	0	0.00168	0.342	0.268	0.313	0.414	0.00576	0.475
221	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1	249371	4	3	4	0	2	1	0	1	0	0	0.00147	0.320	0.245	0.561	0.501	0.00605	0.496
222	CSN2	casein beta	195235	3	3	3	0	0	0	0	2	1	0	0.00162	0.443	0.324	0.485	0.464	0.00615	0.502
223	GDNF	glial cell derived neurotrophic factor	178005	2	2	2	0	1	1	0	0	0	0	0.0146	0.399	0.191	0.0321	0.0518	0.00619	0.504
224	WDR78	WD repeat domain 78	754409	3	3	3	0	2	0	0	0	1	0	0.0209	0.417	0.0708	0.0203	0.0366	0.00624	0.505
225	OR8H2	olfactory receptor, family 8, subfamily H, member 2	266303	3	3	3	1	2	1	0	0	0	0	0.000772	0.443	0.685	0.924	1.000	0.00630	0.508
226	TARSL2	threonyl-tRNA synthetase-like 2	624837	3	3	2	0	0	2	1	0	0	0	0.0257	0.305	0.0252	0.755	0.0308	0.00645	0.517
227	SKAP2	src kinase associated phosphoprotein 2	316449	3	3	3	0	3	0	0	0	0	0	0.000798	0.628	0.421	0.694	1.000	0.00649	0.517
228	WFDC8	WAP four-disulfide core domain 8	212239	2	2	2	1	1	0	1	0	0	0	0.00488	0.877	0.102	0.495	0.164	0.00651	0.517
229	OR51G1	olfactory receptor, family 51, subfamily G, member 1	273940	4	4	4	1	2	1	0	1	0	0	0.000807	0.574	0.922	0.948	1.000	0.00656	0.517
230	SLCO6A1	solute carrier organic anion transporter family, member 6A1	623953	7	7	7	2	3	1	0	2	1	0	0.00103	0.603	0.571	0.662	0.789	0.00659	0.517
231	TNFRSF4	tumor necrosis factor receptor superfamily, member 4	144930	3	3	3	0	1	1	0	0	1	0	0.00123	0.212	0.620	0.365	0.661	0.00659	0.517
232	MCOLN3	mucolipin 3	482625	4	4	3	0	2	1	1	0	0	0	0.00275	0.235	0.175	0.982	0.296	0.00661	0.517
233	ACSM4	acyl-CoA synthetase medium-chain family member 4	468223	5	5	5	0	4	0	0	1	0	0	0.000821	0.233	0.921	0.747	1.000	0.00666	0.518
234	OR4K13	olfactory receptor, family 4, subfamily K, member 13	257568	3	3	3	0	1	1	1	0	0	0	0.00197	0.313	0.509	0.139	0.427	0.00680	0.525
235	MRGPRE	MAS-related GPR, member E	145912	3	3	3	0	3	0	0	0	0	0	0.00579	0.195	0.143	0.165	0.146	0.00681	0.525
236	POTEG	POTE ankyrin domain family, member G	346015	4	4	3	1	3	0	1	0	0	0	0.00205	0.454	0.211	0.951	0.422	0.00697	0.535
237	OR2M2	olfactory receptor, family 2, subfamily M, member 2	296018	3	3	3	0	2	0	0	1	0	0	0.00399	0.492	0.197	0.188	0.219	0.00703	0.535
238	TNNT1	troponin T type 1 (skeletal, slow)	217558	3	3	3	0	1	0	0	1	1	0	0.00703	0.503	NaN	NaN	NaN	0.00703	0.535
239	CHD9	chromodomain helicase DNA binding protein 9	2242059	10	10	10	0	0	2	2	5	1	0	0.00117	0.0895	0.640	0.549	0.756	0.00709	0.538
240	CHL1	cell adhesion molecule with homology to L1CAM (close homolog of L1)	1065092	6	6	6	0	2	0	0	2	2	0	0.00102	0.167	0.741	0.388	0.872	0.00714	0.538
241	OR8H3	olfactory receptor, family 8, subfamily H, member 3	266869	3	3	3	0	1	0	0	2	0	0	0.00536	0.405	0.0494	0.524	0.166	0.00715	0.538
242	OR5K1	olfactory receptor, family 5, subfamily K, member 1	263039	3	3	3	1	1	1	0	1	0	0	0.00191	0.693	0.391	0.419	0.474	0.00725	0.544
243	VAMP7	vesicle-associated membrane protein 7	227555	3	3	3	0	0	0	0	3	0	0	0.00354	0.685	0.167	0.944	0.261	0.00737	0.550
244	CCDC60	coiled-coil domain containing 60	481497	5	5	5	0	4	0	0	0	1	0	0.000943	0.336	0.909	0.533	1.000	0.00751	0.558
245	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	434870	4	4	3	0	3	1	0	0	0	0	0.000968	0.284	0.606	0.767	1.000	0.00768	0.568
246	GLYATL1	glycine-N-acyltransferase-like 1	283303	3	3	3	0	0	2	0	0	1	0	0.00433	0.368	0.847	0.0867	0.224	0.00770	0.568
247	SHANK1	SH3 and multiple ankyrin repeat domains 1	949206	3	3	3	0	2	1	0	0	0	0	0.342	0.235	0.000872	0.265	0.00287	0.00778	0.571
248	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	3175969	11	11	11	1	2	3	1	5	0	0	0.00588	0.181	0.107	0.760	0.172	0.00797	0.580
249	ALX1	ALX homeobox 1	280487	3	3	3	0	0	2	0	0	1	0	0.00518	0.275	0.0892	0.558	0.195	0.00797	0.580
250	CHD8	chromodomain helicase DNA binding protein 8	1874696	9	9	9	0	0	0	0	3	6	0	0.00143	0.105	0.600	0.408	0.710	0.00803	0.580
251	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	516072	4	4	4	0	0	1	0	3	0	0	0.00801	0.425	0.0889	0.451	0.127	0.00803	0.580
252	NFIB	nuclear factor I/B	365632	3	3	3	1	0	0	1	0	2	0	0.00304	0.681	0.254	0.513	0.337	0.00808	0.581
253	PRKCD	protein kinase C, delta	583680	3	3	2	1	1	0	0	0	2	0	0.0607	0.831	0.376	0.00805	0.0170	0.00813	0.582
254	C1orf177	chromosome 1 open reading frame 177	328726	4	4	4	0	2	0	0	2	0	0	0.00155	0.469	0.438	0.643	0.670	0.00816	0.582
255	S100A8	S100 calcium binding protein A8	82070	2	2	2	0	0	0	1	1	0	0	0.00129	0.698	0.657	0.251	0.811	0.00825	0.587
256	OR5M3	olfactory receptor, family 5, subfamily M, member 3	259925	3	3	3	0	2	1	0	0	0	0	0.00207	0.323	0.732	0.174	0.510	0.00831	0.587
257	OR9G4	olfactory receptor, family 9, subfamily G, member 4	279298	3	3	3	0	0	0	0	2	1	0	0.00173	0.555	0.446	0.629	0.614	0.00833	0.587
258	CD22	CD22 molecule	730815	6	6	6	0	4	0	0	1	1	0	0.00160	0.126	0.406	0.483	0.665	0.00835	0.587
259	ANKRD33	ankyrin repeat domain 33	406552	3	3	3	0	1	0	0	2	0	0	0.0187	0.452	0.0143	0.320	0.0583	0.00853	0.596
260	SATL1	spermidine/spermine N1-acetyl transferase-like 1	518137	3	3	3	1	0	1	0	1	1	0	0.00929	0.864	0.469	0.0868	0.118	0.00855	0.596
261	OR4C15	olfactory receptor, family 4, subfamily C, member 15	315540	3	3	3	0	0	0	0	3	0	0	0.00317	0.575	0.137	0.738	0.347	0.00861	0.597
262	RYR3	ryanodine receptor 3	3947108	17	17	17	2	6	1	1	5	4	0	0.00111	0.0762	0.946	0.971	1.000	0.00863	0.597
263	CNTN6	contactin 6	893571	5	5	5	1	3	0	1	0	1	0	0.00171	0.564	0.367	0.297	0.677	0.00899	0.620
264	TRIML1	tripartite motif family-like 1	404942	5	5	5	2	3	0	0	2	0	0	0.00326	0.514	0.330	0.326	0.362	0.00914	0.626
265	SYT13	synaptotagmin XIII	348074	3	3	3	1	2	1	0	0	0	0	0.0143	0.607	0.0297	0.542	0.0827	0.00915	0.626
266	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E	47007	1	1	1	0	0	0	1	0	0	0	0.00925	0.725	NaN	NaN	NaN	0.00925	0.630
267	C14orf39	chromosome 14 open reading frame 39	500345	3	3	3	0	0	1	0	1	1	0	0.00530	0.465	0.174	0.305	0.229	0.00938	0.637
268	ZNF208	zinc finger protein 208	1005372	6	6	6	2	0	2	1	2	1	0	0.0162	0.756	0.0903	0.182	0.0756	0.00945	0.639
269	TSPAN16	tetraspanin 16	201185	3	3	3	0	1	2	0	0	0	0	0.00181	0.193	0.494	0.918	0.681	0.00948	0.639
270	LRRC24	leucine rich repeat containing 24	231354	2	2	2	0	0	0	1	1	0	0	0.0302	0.657	0.716	0.0204	0.0417	0.00967	0.649
271	ADM2	adrenomedullin 2	54571	1	1	1	0	0	1	0	0	0	0	0.00970	0.608	NaN	NaN	NaN	0.00970	0.649
272	LHX3	LIM homeobox 3	241613	2	2	2	1	1	0	0	1	0	0	0.0906	0.796	0.262	0.0126	0.0141	0.00979	0.651
273	MRPL32	mitochondrial ribosomal protein L32	163718	3	3	3	0	1	1	0	0	1	0	0.00278	0.358	0.387	0.234	0.466	0.00990	0.651
274	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	495150	5	5	5	1	3	0	0	1	1	0	0.00130	0.419	0.676	0.917	1.000	0.00991	0.651
275	OR10Z1	olfactory receptor, family 10, subfamily Z, member 1	267435	2	2	2	1	1	0	0	0	1	0	0.00667	0.869	0.0704	0.478	0.194	0.00991	0.651
276	GOLGA6D	golgin A6 family, member D	186688	2	2	2	0	1	1	0	0	0	0	0.0239	0.401	0.0511	0.281	0.0545	0.00997	0.651
277	DYNLRB1	dynein, light chain, roadblock-type 1	86874	2	2	2	0	0	0	1	1	0	0	0.00130	0.662	0.899	0.880	1.000	0.00997	0.651
278	PODNL1	podocan-like 1	225004	3	3	3	0	3	0	0	0	0	0	0.0114	0.425	0.0107	0.507	0.114	0.0100	0.651
279	MAGEA6	melanoma antigen family A, 6	230558	3	3	3	0	1	0	0	2	0	0	0.00131	0.410	0.718	0.901	1.000	0.0100	0.651
280	PTPRT	protein tyrosine phosphatase, receptor type, T	1233047	7	7	7	0	4	0	1	1	1	0	0.00672	0.100	0.143	0.641	0.196	0.0100	0.651
281	IDO1	indoleamine 2,3-dioxygenase 1	321567	3	3	3	0	0	0	0	2	1	0	0.00551	0.544	0.170	0.508	0.242	0.0102	0.656
282	DKK2	dickkopf homolog 2 (Xenopus laevis)	225195	3	3	3	0	1	0	0	1	1	0	0.00329	0.422	0.322	0.454	0.412	0.0103	0.662
283	TMEM174	transmembrane protein 174	209420	3	3	3	0	3	0	0	0	0	0	0.00222	0.187	0.600	0.677	0.615	0.0104	0.663
284	PCDH11Y	protocadherin 11 Y-linked	707806	7	7	7	2	2	1	1	2	1	0	0.00142	0.610	0.954	0.690	0.967	0.0104	0.663
285	TMEM229B	transmembrane protein 229B	115044	3	3	3	0	2	1	0	0	0	0	0.00248	0.181	0.559	0.119	0.554	0.0104	0.663
286	FAM71B	family with sequence similarity 71, member B	516758	5	5	5	0	3	0	2	0	0	0	0.00138	0.119	0.915	0.523	1.000	0.0105	0.663
287	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	955864	3	3	3	1	1	1	0	1	0	0	0.153	0.666	0.00670	0.981	0.00916	0.0106	0.668
288	NLRP4	NLR family, pyrin domain containing 4	854869	6	6	6	2	2	2	1	0	1	0	0.00396	0.488	0.255	0.256	0.363	0.0108	0.680
289	MLST8	MTOR associated protein, LST8 homolog (S. cerevisiae)	286679	2	2	2	0	1	0	0	0	1	0	0.0376	0.600	0.0667	0.0266	0.0382	0.0109	0.680
290	OR2K2	olfactory receptor, family 2, subfamily K, member 2	269981	3	3	3	0	1	1	1	0	0	0	0.00437	0.243	0.655	0.164	0.333	0.0110	0.680
291	ZNF28	zinc finger protein 28	566566	6	4	6	0	2	1	0	3	0	0	0.00253	0.331	0.403	0.402	0.574	0.0110	0.680
292	HNF4A	hepatocyte nuclear factor 4, alpha	446589	4	4	4	1	2	1	0	0	1	0	0.00810	0.376	0.367	0.0609	0.180	0.0110	0.680
293	RNF168	ring finger protein 168	492414	3	3	3	0	0	0	0	1	2	0	0.0223	0.538	0.273	0.0538	0.0653	0.0110	0.680
294	CCL24	chemokine (C-C motif) ligand 24	104710	2	2	2	0	1	0	0	1	0	0	0.00654	0.515	0.462	0.237	0.226	0.0111	0.685
295	NETO1	neuropilin (NRP) and tolloid (TLL)-like 1	470333	2	2	2	0	0	0	0	0	2	0	0.0748	0.563	1.000	0.0201	0.0201	0.0113	0.693
296	GKN1	gastrokine 1	176187	2	2	2	0	1	0	0	1	0	0	0.0113	0.521	0.0488	0.0243	0.134	0.0114	0.693
297	CD33	CD33 molecule	317265	5	4	5	1	4	0	0	1	0	0	0.00152	0.275	0.731	0.802	1.000	0.0114	0.693
298	CCDC85A	coiled-coil domain containing 85A	382790	4	4	4	0	1	1	0	1	1	0	0.00230	0.225	0.451	0.983	0.664	0.0114	0.693
299	PRSS55	protease, serine, 55	304416	2	2	2	1	1	1	0	0	0	0	0.0150	0.635	0.711	0.0126	0.102	0.0114	0.693
300	HHIPL2	HHIP-like 2	625318	5	5	5	1	1	0	0	2	2	0	0.00282	0.560	0.422	0.375	0.545	0.0115	0.693
301	SCAND1	SCAN domain containing 1	50309	1	1	1	0	0	0	1	0	0	0	0.0115	0.712	NaN	NaN	NaN	0.0115	0.693
302	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	534692	4	4	3	0	0	0	0	1	3	0	0.00214	0.842	0.588	0.801	0.725	0.0116	0.693
303	RSPO3	R-spondin 3 homolog (Xenopus laevis)	227178	2	2	2	0	1	0	0	1	0	0	0.0207	0.720	0.205	0.171	0.0750	0.0116	0.693
304	SUSD5	sushi domain containing 5	507670	3	3	2	0	2	0	1	0	0	0	0.0135	0.287	0.0661	0.897	0.116	0.0117	0.698
305	OR8I2	olfactory receptor, family 8, subfamily I, member 2	264217	3	3	3	0	1	0	1	1	0	0	0.00346	0.341	0.244	0.807	0.459	0.0118	0.702
306	KRTAP5-10	keratin associated protein 5-10	173479	2	2	2	0	0	0	0	0	2	0	0.00215	0.738	0.701	0.513	0.741	0.0119	0.703
307	KRTAP3-3	keratin associated protein 3-3	85183	1	1	1	0	0	0	1	0	0	0	0.0120	0.741	NaN	NaN	NaN	0.0120	0.706
308	OR5M1	olfactory receptor, family 5, subfamily M, member 1	269310	3	3	3	0	1	1	1	0	0	0	0.00164	0.275	0.877	0.849	1.000	0.0122	0.713
309	OR6C75	olfactory receptor, family 6, subfamily C, member 75	266538	3	3	3	1	0	1	0	1	1	0	0.00288	0.854	0.526	0.335	0.571	0.0122	0.713
310	ARMC3	armadillo repeat containing 3	736333	4	4	4	1	1	1	1	1	0	0	0.00687	0.538	0.715	0.107	0.239	0.0122	0.713
311	AMPH	amphiphysin	588342	4	4	4	0	3	0	0	0	1	0	0.0135	0.194	0.169	0.0207	0.123	0.0122	0.714
312	ZNF569	zinc finger protein 569	587506	4	4	4	0	1	0	1	2	0	0	0.00232	0.355	0.618	0.700	0.716	0.0123	0.714
313	AADACL2	arylacetamide deacetylase-like 2	345895	2	2	2	0	0	2	0	0	0	0	0.0206	0.550	0.264	0.0821	0.0814	0.0124	0.715
314	DMRTB1	DMRT-like family B with proline-rich C-terminal, 1	192308	3	3	3	0	0	1	0	1	1	0	0.00177	0.385	0.957	0.199	0.951	0.0125	0.715
315	OR6C6	olfactory receptor, family 6, subfamily C, member 6	267615	3	3	3	0	2	0	0	1	0	0	0.00217	0.426	0.683	0.530	0.776	0.0125	0.715
316	FLG2	filaggrin family member 2	2031513	10	10	10	2	2	2	1	3	2	0	0.00244	0.257	0.482	0.704	0.699	0.0126	0.715
317	RSPO4	R-spondin family, member 4	149498	2	2	2	1	2	0	0	0	0	0	0.0316	0.829	0.635	0.0522	0.0542	0.0126	0.715
318	OR2T3	olfactory receptor, family 2, subfamily T, member 3	267146	3	3	3	2	0	0	1	0	2	0	0.0132	0.913	0.477	0.0574	0.130	0.0127	0.715
319	CYP2C8	cytochrome P450, family 2, subfamily C, polypeptide 8	425042	2	2	2	0	1	0	0	1	0	0	0.0810	0.672	0.0802	0.0146	0.0212	0.0127	0.715
320	POTEE	POTE ankyrin domain family, member E	656413	4	4	3	2	3	0	0	1	0	0	0.109	0.702	0.00938	1.000	0.0159	0.0127	0.715
321	MYO1D	myosin ID	848364	3	3	2	1	2	0	0	0	1	0	0.0646	0.808	0.0323	0.251	0.0267	0.0127	0.715
322	DPPA4	developmental pluripotency associated 4	266867	3	3	3	0	0	1	0	1	1	0	0.00304	0.394	0.387	0.502	0.567	0.0127	0.715
323	OASL	2'-5'-oligoadenylate synthetase-like	444019	3	3	3	0	0	0	2	1	0	0	0.0155	0.550	0.196	0.0716	0.112	0.0128	0.718
324	KRT222	keratin 222	257778	2	2	2	0	0	0	0	0	2	0	0.0186	0.625	0.0240	0.367	0.0946	0.0129	0.722
325	PIGR	polymeric immunoglobulin receptor	647467	3	3	3	0	1	1	0	1	0	0	0.0328	0.292	0.0994	0.119	0.0548	0.0132	0.734
326	MTX3	metaxin 3	221358	3	3	3	0	0	1	0	2	0	0	0.00332	0.488	0.554	0.256	0.551	0.0133	0.735
327	DCAF8L2	DDB1 and CUL4 associated factor 8-like 2	301277	3	3	3	0	0	0	0	2	1	0	0.00576	0.498	0.251	0.376	0.319	0.0134	0.735
328	PTCD2	pentatricopeptide repeat domain 2	341429	3	3	3	1	0	1	1	1	0	0	0.00580	0.679	0.195	0.973	0.317	0.0134	0.735
329	MTF1	metal-regulatory transcription factor 1	651358	3	3	3	0	1	0	1	1	0	0	0.0300	0.348	0.346	0.0652	0.0615	0.0134	0.735
330	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	292049	2	2	2	0	0	1	0	1	0	0	0.0354	0.588	0.300	0.0380	0.0521	0.0135	0.735
331	EBF2	early B-cell factor 2	490183	4	4	4	0	1	0	0	2	1	0	0.00848	0.251	0.340	0.125	0.218	0.0135	0.735
332	MSR1	macrophage scavenger receptor 1	405427	4	4	4	0	3	0	0	1	0	0	0.00344	0.263	0.258	0.792	0.539	0.0135	0.735
333	ZNF81	zinc finger protein 81	551051	2	2	2	0	1	0	0	1	0	0	0.0592	0.651	0.128	0.0319	0.0314	0.0136	0.735
334	CYP4X1	cytochrome P450, family 4, subfamily X, polypeptide 1	446136	4	4	4	0	3	0	0	0	1	0	0.00420	0.236	0.453	0.333	0.446	0.0136	0.735
335	NLRP3	NLR family, pyrin domain containing 3	890455	6	6	6	0	4	0	0	2	0	0	0.00394	0.114	0.357	0.403	0.477	0.0137	0.735
336	ZCCHC5	zinc finger, CCHC domain containing 5	388372	3	3	3	0	2	0	1	0	0	0	0.00188	0.442	0.921	0.640	1.000	0.0137	0.735
337	MACC1	metastasis associated in colon cancer 1	728353	4	4	4	0	0	1	1	1	1	0	0.00393	0.320	0.945	0.117	0.480	0.0137	0.735
338	CST9	cystatin 9 (testatin)	138103	2	2	2	0	0	2	0	0	0	0	0.00189	0.366	0.875	0.944	1.000	0.0137	0.735
339	WSCD2	WSC domain containing 2	481091	4	4	4	0	2	0	0	1	1	0	0.00952	0.271	0.142	0.491	0.199	0.0138	0.735
340	DAB1	disabled homolog 1 (Drosophila)	483915	3	3	3	1	0	1	0	1	1	0	0.0271	0.680	0.0406	0.719	0.0700	0.0138	0.735
341	HBG2	hemoglobin, gamma G	106962	1	1	1	0	0	0	1	0	0	0	0.0139	0.776	NaN	NaN	NaN	0.0139	0.738
342	TSHZ2	teashirt zinc finger homeobox 2	868514	7	7	5	4	7	0	0	0	0	0	0.439	0.539	0.00540	0.0689	0.00447	0.0142	0.752
